name,city
"Van Moll",Eindhoven
"Stads Brouwerij",Eindhoven
"Drinkers Pub",Eindhoven
"Belgisch Bier Cafe",Eindhoven
"Bier Professor",Eindhoven
"Garage Beer Co",Barcelona
"Kælderkold",Barcelona
"BierCab",Barcelona
"BrewGata",Oslo
"Good Beer Drinking",Milan
"Navigli Craft Beer",Milan
